raw_name,canonical_name,entity_type,confidence,resolution_method,timestamp
Sentence Transformers,Sentence Transformers,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.404515+00:00
Google Bert,Google Bert,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.405035+00:00
Cross Encoder,Cross Encoder,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.405327+00:00
Baai,Baai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.405579+00:00
Google,Google,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.405955+00:00
Amazon,Amazon,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.406227+00:00
Qwen,Qwen,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.406464+00:00
Lpiccinelli,Lpiccinelli,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.406701+00:00
Google T5,Google T5,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.406947+00:00
Openai,OpenAI,STARTUP,1.0,EXACT_SEED_MATCH,2026-08-27T15:08:45.406966+00:00
Comfy Org,Comfy Org,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.407200+00:00
Facebookai,Facebookai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.407440+00:00
Timm,Timm,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.407690+00:00
Trl Internal Testing,Trl Internal Testing,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.407954+00:00
Nomic Ai,Nomic,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.408184+00:00
Openai Community,Openai Community,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.408432+00:00
Facebook,Facebook,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.408661+00:00
Unsloth,Unsloth,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.408896+00:00
Intfloat,Intfloat,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.409124+00:00
Hexgrad,Hexgrad,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.409348+00:00
Nvidia,Nvidia,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.409582+00:00
Argmaxinc,Argmaxinc,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.409800+00:00
Jonatasgrosman,Jonatasgrosman,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.410025+00:00
Bingsu,Bingsu,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.410242+00:00
Pyannote,Pyannote,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.410460+00:00
Laion,Laion,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.410682+00:00
Coqui,Coqui,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.410902+00:00
Meta Llama,Meta Llama,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.411170+00:00
Autogluon,Autogluon,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.411504+00:00
Distilbert,Distilbert,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.411791+00:00
Farbodtavakkoli,Farbodtavakkoli,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.412024+00:00
Ibm Granite,Ibm Granite,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.412278+00:00
Answerdotai,Answerdotai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.412516+00:00
Minimaxai,Minimaxai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.412765+00:00
Prosusai,Prosusai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.412991+00:00
Dphn,Dphn,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.413213+00:00
Ornith Ai,Ornith,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.413442+00:00
Microsoft,Microsoft,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.413765+00:00
Datasocietyco,Datasocietyco,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.414025+00:00
Falconsai,Falconsai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.414304+00:00
Deepseek Ai,DeepSeek,STARTUP,1.0,EXACT_SEED_MATCH,2026-08-27T15:08:45.414319+00:00
Eleutherai,Eleutherai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.414558+00:00
Mistralai,Mistral AI,STARTUP,0.88,FUZZY_RATIO_MATCH,2026-08-27T15:08:45.414800+00:00
